Model,Action_Score,Romance_Score,Thriller_Score
gpt2-xl,0.04907133,0.03135694,-0.07267847
albert-xlarge-v2,0.107461564,0.20073085,-0.31553417
albert-xxlarge-v2,-0.14291206,0.24948351,-0.10204514
t5-3b,0.13632704,0.1579302,-0.27092832
microsoft/deberta-xlarge,-0.11643713,-0.07873245,0.15100512
